Rank,Group ID,Group Name,Privacy,Member Count,Last Updated
1,309649169674064,"Pcx ซื้อ-ขาย Pcxมือ(2) เท่านั้น",OPEN,934782,2025-12-18T00:20:11+0000
2,1067914296651346,"RoV : Garena Thailand",CLOSED,825677,2025-12-18T00:22:14+0000
3,561905421582644,"กลุ่ม คนจนคอมพิวเตอร์ ซื้อ-ขาย คอมพิวเตอร์และอะไหล่ มือสองมือหนึ่ง ราคาถูก",OPEN,656132,2025-12-18T00:23:34+0000
4,2244707579074541,"Garena Rov Thailand ซื้อขายแลกเปลี่ยนรหัสแอดมินเมย์(เมย์กันเกรียน)",OPEN,638015,2025-12-17T22:52:35+0000
5,2371881352829083,"Extreme IT กลุ่ม ซื้อ-ขาย การ์ดจอ CPU RAM อุปกรณ์คอมพิวเตอร์ PC",OPEN,634411,2025-12-18T00:20:34+0000
6,308590241855238,"Grow a Garden ซื้อขาย-เเลกเปลี่ยนพูดคุย",OPEN,572148,2025-12-18T00:23:36+0000
7,1948600748711191,"Extreme IT กลุ่มสำหรับคนรักการแต่งคอมพิวเตอร์",OPEN,507762,2025-12-18T00:22:12+0000
8,2718685878300616,"Grow a Garden ซื้อขายเเลกเปลี่ยนพูดคุย",OPEN,495238,2025-12-18T00:23:13+0000
9,131258331007039,"กลุ่มนักเขียนโปรแกรม",OPEN,373271,2025-12-18T00:21:54+0000
10,1400374890060766,"VALORANT Market Thailand ซื้อขาย-แลกเปลี่ยน PC และ Mobile",CLOSED,333705,2025-12-18T00:18:29+0000
11,1842780372765268,"VALORANT Thailand Market【ซื้อขาย-แลกเปลี่ยน】",CLOSED,329775,2025-12-18T00:23:31+0000
12,792115070982694,"iHAVECPU ชุมชนคนชอบคอมและข้าว",OPEN,302386,2025-12-18T00:15:34+0000
13,497521888607139,"ซื้อ-ขายอุปกรณ์คอมพิวเตอร์มือ1 มือ2 ประเทศไทย BYคอมเว้ยเห้ย",OPEN,288831,2025-12-18T00:22:56+0000
14,1606380872825266,"ROV ซื้อ-ขาย แลกเปลี่ยนไอดี TH",OPEN,265201,2025-12-18T00:23:04+0000
15,483013858539835,"STEAM Thailand ซื้อขาย แลกเปลี่ยน",CLOSED,252313,2025-12-18T00:20:18+0000
16,998801353965681,"ตลาดนัด ROV",OPEN,247106,2025-12-18T00:22:19+0000
17,1607391529588685,"อุปกรณ์ (Gaming Gear) มือหนึ่งและสอง GMG",OPEN,230245,2025-12-18T00:22:55+0000
18,505230898037813,"การ์ดจอมือสอง",OPEN,213662,2025-12-18T00:21:48+0000
19,289008456634964,"FiveM Thailand Community",OPEN,205456,2025-12-18T00:19:18+0000
20,1389673854729769,"ROV ซื้อ-ขาย ไอดีวินเรท TH",OPEN,205174,2025-12-18T00:23:06+0000
21,686800195194310,"โหนชิงช้า FREEFIRE THAILAND",OPEN,203525,2025-12-18T00:22:48+0000
22,1775723972593010,"The Forge ซื้อขาย พูดคุย",OPEN,186703,2025-12-17T22:50:20+0000
23,2474283156123076,"ROV พูดคุย หาเพื่อนเล่น TH",OPEN,182918,2025-12-18T00:23:26+0000
24,1259736621265968,"iPhone 15  Thailand",OPEN,152320,2025-12-17T23:48:35+0000
25,255834148328219,"FiveM Thailand กลุ่มหาเมืองเล่น",CLOSED,140321,2025-12-18T00:23:20+0000
26,686633655307229,"กลุ่มหาเมืองเล่น FiveM Thailand",CLOSED,138875,2025-12-17T19:07:42+0000
27,1115396629290401,"ตัดคลิป ทำปกเกม ใส่ลิงก์ ซื้อ-ขาย อื่นๆ🤍🎀",OPEN,137196,2025-12-18T00:07:47+0000
28,393613685243569,"Discord Thailand (โปรโมทดีสคอร์ด)",CLOSED,126743,2025-12-18T00:12:52+0000
29,158041002570230,"โปรโมทประเทศ FiveM และ หาเมืองเล่น Thailand",OPEN,123864,2025-12-18T00:17:46+0000
30,1404677390004922,"Build a zoo ซื้อขาย แลกเปลี่ยน",OPEN,123328,2025-12-18T00:23:18+0000
31,364167337464759,"โปรโมท FiveM Community Thailand [Official Group]",OPEN,115113,2025-12-18T00:16:34+0000
32,749207003399761,"เดิมพัน/แพ้บัตร Tawisa",OPEN,106133,2025-12-18T00:23:31+0000
33,4170730596282710,"Garena RoV Thailand กลุ่มพูดคุย แบ่งปัน หาเพื่อนเล่น",OPEN,102411,2025-12-18T00:21:06+0000
34,1301407820250374,"โปรโมทเซิร์ฟเวอร์ หาเมืองเล่น [Community] GTA V FiveM Thailand",OPEN,101209,2025-12-17T19:53:34+0000
35,144311467670480,"ร้านถ่ายรูป FiveM gta/ Ts4 thesim ร้านวาดรูป  เฉพาะเล่น Fivem เท่านั้น",CLOSED,100432,2025-12-18T00:07:09+0000
36,1865710340412314,"ซื้อขาย โทรศัพท์ มือถือ มือ 2 ระยอง",OPEN,100361,2025-12-18T00:22:15+0000
37,177441499571588,"Roblox Hack กลุ่มวัยรุ่นฟอร์มช่าง",CLOSED,88611,2025-12-18T00:22:23+0000
38,779503139869548,"รับตัดคลิป ใส่ลิงก์ ปกเกมและอื่นๆ🎀⛅️",OPEN,82304,2025-12-18T00:12:37+0000
39,291033674576900,"ซื้อ-ขายมือถือระยอง",OPEN,79114,2025-12-18T00:18:36+0000
40,292876571049508,"ซื้อขายมือถือ มือ1มือ2 ระยอง",CLOSED,79077,2025-12-17T21:29:43+0000
41,935211530666822,"โปรโมทเซิฟเวอร์ FiveM หาเพื่อนหาประเทศเล่น แลกเปลี่ยนความรู้ Thailand",OPEN,78268,2025-12-18T00:19:23+0000
42,416344229842755,"Discord Thailand Community(หาดิส หาคนเข้าดิส)",CLOSED,67683,2025-12-18T00:16:09+0000
43,339605380294101,"Fivem Community thailand หาเมืองเล่น โปรโมทเซิฟ",CLOSED,67489,2025-12-18T00:18:26+0000
44,455163532218953,"ขายโปร-ชื้อโปรฟีฟาย-ขายรหัสเวล8-ไม่เกรีน-ไม่รามกนะค้าบบ☂️",OPEN,56000,2025-12-18T00:22:28+0000
45,841461387070415,"ซื้อขาย เงินเขียว FIVEM",CLOSED,49998,2025-12-17T20:50:17+0000
46,2282323915319721,"รวมคนเล่น WarZ โปรโมทเซิร์ฟเวอร์",CLOSED,48084,2025-12-17T19:18:16+0000
47,407017037487156,"FIVEM Thailand โปรโมทเมือง",OPEN,44957,2025-12-18T00:09:17+0000
48,284191580010500,"Five M Thailand โปรโมทประเทศ หาเมืองเล่น หาประเทศลง",OPEN,43211,2025-12-17T22:16:54+0000
49,1271378140354110,"ซื้อขายเงินรับฟาร์มเงิน OC-FIVEM ทุกประเทศ",OPEN,38312,2025-12-18T00:06:22+0000
50,1464357914224787,"𓍲っִ՞ᱹ ̥ เปลี่ยนชื่อเฟสไม่มีนาม ᱹ՞𑁨ཾ♡⃟",OPEN,35062,2025-12-18T00:08:55+0000
51,976869359137472,"💥ร้านข้าวมันไก่💥",CLOSED,34065,2025-12-17T04:02:25+0000
52,249082464045361,"ซื้อขายOC (ตลาดกลาง : 🍊บ้านส้ม No.1) FiveM GTAV",CLOSED,32320,2025-12-17T19:55:37+0000
53,117028673440016,"Roblox Hack ซื้อขายสคริป-ตัวรัน",OPEN,31167,2025-12-18T00:21:26+0000
54,3617415015161220,"ซื้อขายoc เงินฟาร์ม-ไวริส-เงินเขียว-รถ FIVEM GTAV [TH]",OPEN,30681,2025-12-17T23:13:55+0000
55,5412848998772777,"หาประเทศลง โปรโมทประเทศ หาเพื่อนเล่น GTA FIVEM Thailand.",OPEN,29865,2025-12-17T23:43:45+0000
56,1880144702261112,"FiveM Community โปรโมทเซิฟเวอร์",CLOSED,25933,2025-12-17T14:58:25+0000
57,338603763140742,"แหล่งซื้อขายอุปกรณ์คอมพิวเตอร์มือสองระยอง..ฮิ",OPEN,24802,2025-12-17T23:45:29+0000
58,144654900425937,"ซื้อขายโปรเกม FreeFire โปร Rov Andriod Ios PC รับแบกแรงค์",OPEN,22424,2025-12-18T00:20:40+0000
59,115193119187876,"Fivem ซื้อขาย เงินเขียว ไอเทม",CLOSED,19359,2025-12-17T19:08:35+0000
60,2220977784681263,"MTA DYS CITY ( Community )",CLOSED,18913,2025-12-17T17:11:37+0000
61,954543734581642,"ซื้อ-ขาย-แลกเปลี่ยน มือถือ มือ1มือ2@ระยอง",OPEN,18767,2025-12-17T23:09:18+0000
62,316343603122287,"ซื้อขาย อุปกรณ์คอมพิวเตอร์และไอที ระยอง",OPEN,18564,2025-12-17T23:31:18+0000
63,110591846293404,"Infestation LastZ - Official",CLOSED,18069,2025-12-18T00:23:36+0000
64,267359767538867,"สอนเปิดเซิฟเกมส์ WARZ,PB,FIVEM [FOR DEV]",CLOSED,18058,2025-12-18T00:22:41+0000
65,990634292102932,"รับทำภาพ3D Free Fire ปกเกม วาดจิบิอื่นๆ🎀",CLOSED,16793,2025-12-15T11:22:38+0000
66,872242297048354,"ทำปกเครดิต&โลโก้ต่างๆ📌💸✨",OPEN,16480,2025-12-17T16:04:13+0000
67,120734190140402,"🔰กลุ่มรับวาดมาสคอต,ทำปกป้ายต่างๆ🔰",OPEN,15489,2025-12-17T09:05:48+0000
68,691421651345525,"MTA DYS CITY ( กลุ่มซื้อขาย )",CLOSED,14014,2025-12-13T10:21:31+0000
69,498546984842597,"📢 SAMP - THAILAND X PONDVPS ❗",OPEN,13966,2025-12-17T17:37:45+0000
70,940872957731103,"★  ׂ𓈒ּ ໒꒰ รับเปลี่ยนชื่อเฟสไม่มีนาม รับแก้60วัน ׁ  𝆹᭸̶̄꛱͟  ✯ ׁ",OPEN,13601,2025-12-17T20:58:35+0000
71,1779840915656606,"ขายเพลง DJ  EDMสายย่อ แดนซ์ ตื๊ด สายย่อ ยกล้อ เข้าป่า",CLOSED,12251,2025-12-17T20:51:45+0000
72,337280398477806,"SMD OC เสียไม่ได้  forever",CLOSED,11482,2025-12-16T01:47:27+0000
73,1396231450505890,"Discord Thailand community",CLOSED,10783,2025-12-17T16:08:23+0000
74,506626494758855,"อาณาจักร-โทรศัพท์มือถือ-มือสองระยองทุกรุ่น",CLOSED,10018,2025-12-18T00:05:03+0000
75,912391179420365,"กลุ่มรับทำภาพ3D/five m/ts4 อื่นๆ",OPEN,9265,2025-12-17T16:24:01+0000
76,237674624554075,"ซุสตัวแจก 🔪",CLOSED,7886,2025-12-17T17:04:01+0000
77,329077245605842,"REMIX & DJ - ซื้อขายเพลง โปรเจคเพลง - Fl Studio",CLOSED,7056,2025-12-17T16:41:04+0000
78,253111415095250,"AFTER-X | Talk & Trade แนวฟาร์มของมีราคา 🕷",CLOSED,6063,2025-12-17T10:58:49+0000
79,1738929662945845,"ซื้อขายอุปกรณ์คอมพิวเตอร์ ย่านรังสิต ปทุมธานี",OPEN,5943,2025-12-17T17:13:49+0000
80,376019417843658,"SoYer Family",OPEN,5866,2025-12-14T13:22:38+0000
81,619507127010417,"โปรฟีฟาย ซื้อขาย- โปร",OPEN,5398,2025-12-18T00:09:10+0000
82,552874385289052,"กลุ่มที่พวกเราจะแกล้งเล่นโปรในร้านเกมเดียวกัน",CLOSED,5341,2025-12-18T00:16:17+0000
83,2861710690520454,"รวม Hack WARZ PB",CLOSED,5338,2025-12-16T14:00:47+0000
84,522677221845030,"Legends of Evolution Hacker",CLOSED,4165,2025-12-11T04:34:45+0000
85,532840907571735,"กลุ่มโปรเเกรมช่วยเล่น PB/Warz ของคนไม่มีความรู้",OPEN,3354,2025-12-18T00:17:17+0000
86,1283742702553230,"(STARDUST) หาคนเข้าสังกัด+อวดรูป",OPEN,3270,2025-12-17T13:41:19+0000
87,1203487023041849,"แจกรูป//แต่งดิส//แต่งปก [สังกัดมืด] #sry",OPEN,3180,2025-10-01T23:16:23+0000
88,451924392132925,"รวมพลคนทำเซิฟ WarZ",CLOSED,2996,2025-12-17T01:16:04+0000
89,885154785902023,"สล็อตวอเลต ต้องที่ latte99.com เท่านั้น",OPEN,2695,2025-12-14T01:29:44+0000
90,2008695212601744,"🔰รับทำปกต่างๆ โลโก้ ตัดต่อคลิป ขายมาสคอต และอินโทร👾🎮",CLOSED,2634,2025-12-13T11:44:08+0000
91,804096651078204,"ซื้อขาย ขายยิงเบอร์ ยิงดิส ยิงเบอร์",OPEN,2180,2025-12-03T23:35:14+0000
92,1427998567590142,"ㅤ",CLOSED,1700,2025-11-23T09:53:04+0000
93,6098270743626400,"รับทำหน้าปกสังกัดแคลน��",OPEN,938,2025-12-10T08:26:03+0000
94,1030471318154149,"👨‍💻รับทำปกเครดิต แบนเนอร์ และ อื่นๆ @NP PH & @Tester Banner",OPEN,733,2025-12-16T01:42:43+0000
95,1337992257161102,"ซื้อขายเฟส ic และรูป FiveM",OPEN,721,2025-12-17T15:41:38+0000
96,2264772580468921,"ALLNEWSS2 ®️ SERVER PVP ONLINE",CLOSED,647,2025-11-30T19:31:47+0000
97,946996640086672,"MemoryZ X HardZ | แจกกล่องพร้อมยิงเล่นฟรี",CLOSED,602,2025-12-11T00:43:43+0000
